,IDcliente,CHURN,GENERO_CLIENTE,ADULTO_MAYOR,CON_PAREJA,CLIENTE_CON_DEPENDIENTE,ANTIGUEDAD_CLIENTE,SERVICIO_TELEFONO,MULTIPLES_LINEAS,S_INTERNET,SEGURIDAD_ONLINE,RESPALDO_ONLINE,PROTECCION_DISPOSITIVOS,SOPORTE_TECNICO,TV_STREAMING,PELICULAS_STREAMING,CONTRATO,BOLETA_ELECTRONICA,METODO_PAGO,CARGO_MENSUAL,CARGO_TOTAL,Cuentas_Diarias
0,0002-ORFBO,No,Mujer,0,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,One year,Si,Mailed check,65.6,593.3,2.19
1,0003-MKNFE,No,Hombre,0,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Month-to-month,No,Mailed check,59.9,542.4,2.0
2,0004-TLHLJ,Si,Hombre,0,No,No,4,Si,No,Fiber optic,No,No,Si,No,No,No,Month-to-month,Si,Electronic check,73.9,280.85,2.46
3,0011-IGKFF,Si,Hombre,1,Si,No,13,Si,No,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,Si,Electronic check,98.0,1237.85,3.27
4,0013-EXCHZ,Si,Mujer,1,Si,No,3,Si,No,Fiber optic,No,No,No,Si,Si,No,Month-to-month,Si,Mailed check,83.9,267.4,2.8
5,0013-MHZWF,No,Mujer,0,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,Month-to-month,Si,Credit card (automatic),69.4,571.45,2.31
6,0013-SMEOE,No,Mujer,1,Si,No,71,Si,No,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),109.7,7904.25,3.66
7,0014-BMAQU,No,Hombre,0,Si,No,63,Si,Si,Fiber optic,Si,No,No,Si,No,No,Two year,Si,Credit card (automatic),84.65,5377.8,2.82
8,0015-UOCOJ,No,Mujer,1,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Month-to-month,Si,Electronic check,48.2,340.35,1.61
9,0016-QLJIS,No,Mujer,0,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,Si,Mailed check,90.45,5957.9,3.02
10,0017-DINOC,No,Hombre,0,No,No,54,No,No phone service,DSL,Si,No,No,Si,Si,No,Two year,No,Credit card (automatic),45.2,2460.55,1.51
11,0017-IUDMW,No,Mujer,0,Si,Si,72,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Credit card (automatic),116.8,8456.75,3.89
12,0018-NYROU,No,Mujer,0,Si,No,5,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,68.95,351.5,2.3
13,0019-EFAEP,No,Mujer,0,No,No,72,Si,Si,Fiber optic,Si,Si,Si,No,Si,No,Two year,Si,Bank transfer (automatic),101.3,7261.25,3.38
14,0019-GFNTW,No,Mujer,0,No,No,56,No,No phone service,DSL,Si,Si,Si,Si,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,1.5
15,0020-INWCK,No,Mujer,0,Si,Si,71,Si,Si,Fiber optic,No,Si,Si,No,No,Si,Two year,Si,Credit card (automatic),95.75,6849.4,3.19
16,0020-JDNXP,No,Mujer,0,Si,Si,34,No,No phone service,DSL,Si,No,Si,Si,Si,Si,One year,No,Mailed check,61.25,1993.2,2.04
17,0021-IKXGC,No,Mujer,1,No,No,1,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,72.1,72.1,2.4
18,0022-TCJCI,Si,Hombre,1,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,One year,No,Credit card (automatic),62.7,2791.5,2.09
19,0023-HGHWL,Si,Hombre,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Si,Electronic check,25.1,25.1,0.84
20,0023-UYUPN,No,Mujer,1,Si,No,50,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,0.84
21,0023-XUOPT,Si,Mujer,0,Si,No,13,Si,Si,Fiber optic,No,Si,Si,No,Si,No,Month-to-month,No,Electronic check,94.1,1215.6,3.14
22,0027-KWYKW,No,Mujer,0,Si,Si,23,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,83.75,1849.95,2.79
23,0030-FNXPP,No,Mujer,0,No,No,3,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,0.66
24,0031-PVLZI,Si,Mujer,0,Si,Si,4,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,0.68
25,0032-PGELS,Si,Mujer,0,Si,Si,1,No,No phone service,DSL,Si,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,1.02
26,0036-IHMOT,No,Mujer,0,Si,Si,55,Si,No,Fiber optic,No,Si,Si,Si,Si,Si,One year,Si,Bank transfer (automatic),103.7,5656.75,3.46
27,0040-HALCW,No,Hombre,0,Si,Si,54,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,0.68
28,0042-JVWOJ,No,Hombre,0,No,No,26,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Si,Bank transfer (automatic),19.6,471.85,0.65
29,0042-RLHYP,No,Mujer,0,Si,Si,69,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,0.66
31,0048-LUMLS,No,Hombre,0,Si,Si,37,Si,No,Fiber optic,No,No,No,No,Si,Si,One year,No,Credit card (automatic),91.2,3247.55,3.04
32,0048-PIHNL,No,Mujer,0,Si,No,49,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,0.68
33,0052-DCKON,No,Hombre,0,Si,No,66,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,One year,No,Bank transfer (automatic),115.8,7942.15,3.86
34,0052-YNYOT,No,Mujer,0,No,No,67,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,0.68
35,0056-EPFBG,No,Hombre,0,Si,Si,20,No,No phone service,DSL,Si,No,Si,Si,No,No,Two year,Si,Credit card (automatic),39.4,825.4,1.31
36,0057-QBUQH,No,Mujer,0,No,Si,43,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Electronic check,25.1,1070.15,0.84
37,0058-EVZWM,No,Mujer,0,Si,No,55,Si,Si,Fiber optic,Si,No,No,No,Si,No,Month-to-month,Si,Bank transfer (automatic),89.8,4959.6,2.99
38,0060-FUALY,No,Mujer,0,Si,No,59,Si,Si,Fiber optic,Si,Si,No,No,Si,No,Month-to-month,Si,Electronic check,94.75,5597.65,3.16
39,0064-SUDOG,No,Mujer,0,Si,Si,12,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,0.68
40,0064-YIJGF,No,Hombre,0,Si,Si,27,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Bank transfer (automatic),75.75,1929.0,2.52
41,0067-DKWBL,Si,Hombre,1,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Month-to-month,Si,Electronic check,49.25,91.1,1.64
42,0068-FIGTF,No,Mujer,0,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,One year,No,Mailed check,78.2,2078.95,2.61
43,0071-NDAFP,No,Hombre,0,Si,Si,25,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,0.85
44,0074-HDKDG,No,Hombre,0,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,One year,Si,Bank transfer (automatic),61.6,1611.0,2.05
45,0076-LVEPS,No,Hombre,0,No,Si,29,No,No phone service,DSL,Si,Si,Si,Si,No,No,Month-to-month,Si,Mailed check,45.0,1242.45,1.5
46,0078-XZMHT,No,Hombre,0,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),85.15,6316.2,2.84
47,0080-EMYVY,No,Mujer,0,No,No,14,Si,No,DSL,No,Si,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,1.72
48,0080-OROZO,No,Mujer,0,No,No,35,Si,No,Fiber optic,No,No,Si,Si,Si,Si,One year,Si,Electronic check,99.25,3532.0,3.31
49,0082-LDZUE,No,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Mailed check,44.3,44.3,1.48
50,0082-OQIQY,No,Hombre,0,No,No,29,Si,No,Fiber optic,No,No,No,Si,Si,Si,Month-to-month,Si,Electronic check,94.2,2607.6,3.14
51,0083-PIVIK,No,Hombre,0,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,One year,No,Electronic check,81.25,5567.55,2.71
52,0089-IIQKO,No,Mujer,0,Si,Si,39,Si,Si,Fiber optic,No,No,No,Si,Si,Si,Month-to-month,Si,Credit card (automatic),99.95,3767.4,3.33
53,0093-EXYQL,No,Mujer,1,No,No,40,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,91.55,3673.6,3.05
54,0093-XWZFY,Si,Hombre,0,No,No,40,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,Si,Credit card (automatic),104.5,4036.85,3.48
55,0094-OIFMO,Si,Mujer,1,No,No,11,Si,No,Fiber optic,No,Si,No,No,Si,Si,Month-to-month,Si,Electronic check,95.0,1120.3,3.17
56,0096-BXERS,No,Mujer,0,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,1.68
57,0096-FCPUF,No,Hombre,0,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,Month-to-month,Si,Mailed check,64.5,1888.45,2.15
58,0098-BOWSO,No,Hombre,0,No,No,27,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Electronic check,19.4,529.8,0.65
59,0100-DUVFC,No,Hombre,1,Si,No,70,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,One year,Si,Electronic check,104.8,7308.95,3.49
60,0103-CSITQ,No,Mujer,0,Si,No,57,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,One year,Si,Bank transfer (automatic),109.4,6252.7,3.65
61,0104-PPXDV,No,Hombre,0,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,1.68
62,0106-GHRQR,No,Hombre,0,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,Month-to-month,Si,Bank transfer (automatic),71.4,1212.1,2.38
63,0106-UGRDO,No,Mujer,0,Si,No,69,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Electronic check,116.0,8182.85,3.87
64,0107-WESLM,Si,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Electronic check,19.85,19.85,0.66
65,0107-YHINA,Si,Hombre,0,No,Si,1,Si,Si,Fiber optic,No,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,99.75,99.75,3.32
66,0111-KLBQG,No,Hombre,1,Si,Si,32,Si,No,Fiber optic,No,Si,No,No,Si,Si,Month-to-month,Si,Mailed check,93.95,2861.45,3.13
67,0112-QAWRZ,No,Hombre,0,Si,Si,16,Si,Si,Fiber optic,No,No,Si,No,Si,No,Month-to-month,Si,Bank transfer (automatic),90.8,1442.2,3.03
68,0112-QWPNC,Si,Hombre,0,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,One year,No,Electronic check,84.35,4059.35,2.81
69,0114-IGABW,No,Mujer,0,Si,No,71,No,No phone service,DSL,No,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),58.25,4145.9,1.94
70,0114-PEGZZ,No,Mujer,0,No,No,33,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,No,Electronic check,107.55,3645.5,3.58
71,0114-RSRRW,No,Mujer,0,Si,No,10,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Bank transfer (automatic),19.95,187.75,0.66
72,0115-TFERT,Si,Hombre,0,Si,No,21,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Month-to-month,Si,Electronic check,111.2,2317.1,3.71
73,0117-LFRMW,Si,Hombre,0,Si,Si,37,No,No phone service,DSL,Si,Si,Si,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,1.34
74,0118-JPNOY,No,Mujer,1,No,No,26,Si,No,Fiber optic,Si,No,No,No,Si,No,Month-to-month,Si,Credit card (automatic),85.8,2193.65,2.86
76,0121-SNYRK,No,Hombre,0,No,No,50,No,No phone service,DSL,Si,No,No,Si,No,No,One year,Si,Mailed check,35.4,1748.9,1.18
77,0122-OAHPZ,Si,Mujer,0,No,No,7,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,73.85,511.25,2.46
78,0123-CRBRT,No,Mujer,0,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Mailed check,88.1,5526.75,2.94
79,0125-LZQXK,Si,Hombre,0,No,No,15,Si,No,Fiber optic,No,No,Si,Si,Si,Si,Month-to-month,Si,Electronic check,101.35,1553.95,3.38
80,0128-MKWSG,No,Mujer,0,No,Si,26,No,No phone service,DSL,Si,No,No,Si,No,Si,Month-to-month,No,Mailed check,45.8,1147.0,1.53
81,0129-KPTWJ,No,Hombre,0,Si,No,72,Si,No,Fiber optic,No,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,94.65,6747.35,3.16
82,0129-QMPDR,No,Hombre,0,Si,Si,44,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Si,Bank transfer (automatic),20.5,865.05,0.68
83,0130-SXOUN,No,Hombre,0,No,No,66,Si,Si,Fiber optic,No,Si,No,No,No,Si,Month-to-month,No,Credit card (automatic),89.4,5976.9,2.98
84,0133-BMFZO,Si,Mujer,0,No,No,2,Si,No,Fiber optic,Si,Si,No,Si,No,No,Month-to-month,Si,Electronic check,86.25,181.65,2.88
85,0134-XWXCE,No,Mujer,1,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,One year,No,Bank transfer (automatic),74.85,3268.05,2.49
86,0135-NMXAP,Si,Mujer,0,No,No,12,Si,Si,Fiber optic,No,Si,No,No,Si,No,Month-to-month,Si,Bank transfer (automatic),89.75,1052.4,2.99
87,0136-IFMYD,No,Hombre,1,Si,No,69,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Two year,Si,Electronic check,109.95,7634.25,3.66
88,0137-OCGAB,Si,Mujer,0,No,No,1,Si,Si,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Mailed check,80.2,80.2,2.67
